hash1, hash2, hash3, hash4, hash5, hash6, 
0, 1393, 0, 206, 1029, 293, 
30538, 970, 39, 209, 117, 317, 
0, 1115, 169, 198, 50, 286, 
0, 687, 860, 206, 2, 276, 
0, 805, 2590, 204, 1072, 289, 
0, 721, 3912, 210, 124, 312, 
0, 157, 5234, 211, 44, 320, 
0, 140, 5557, 190, 5, 283, 
0, 728, 4707, 215, 1059, 312, 
0, 1058, 3363, 217, 113, 297, 
0, 356, 2100, 241, 53, 321, 
0, 515, 1179, 219, 2, 319, 
0, 1723, 521, 257, 1011, 304, 
0, 128, 219, 264, 92, 294, 
0, 1128, 52, 253, 49, 267, 
0, 2496, 33, 262, 5, 290, 
0, 1080, 3, 282, 1033, 313, 
0, 826, 0, 303, 95, 303, 
0, 395, 0, 318, 44, 257, 
0, 797, 0, 315, 5, 300, 
0, 0, 0, 303, 1042, 293, 
0, 72, 0, 255, 83, 282, 
0, 15, 0, 315, 47, 319, 
0, 0, 0, 307, 4, 294, 
0, 0, 0, 299, 1069, 313, 
0, 0, 0, 354, 108, 306, 
0, 0, 0, 336, 51, 339, 
0, 0, 0, 369, 2, 306, 
0, 0, 0, 335, 1076, 272, 
0, 0, 0, 359, 101, 283, 
0, 0, 0, 379, 43, 272, 
0, 0, 0, 395, 2, 323, 
0, 0, 0, 394, 1009, 298, 
0, 0, 0, 386, 85, 313, 
0, 0, 0, 399, 47, 327, 
0, 0, 0, 411, 4, 312, 
0, 0, 0, 388, 1090, 285, 
0, 0, 0, 418, 108, 302, 
0, 0, 0, 392, 62, 307, 
0, 0, 0, 401, 8, 319, 
0, 0, 0, 396, 1031, 330, 
0, 0, 0, 420, 98, 323, 
0, 0, 0, 414, 48, 334, 
0, 0, 0, 435, 3, 295, 
0, 0, 0, 419, 1120, 317, 
0, 0, 0, 401, 77, 321, 
0, 0, 0, 410, 47, 291, 
0, 0, 0, 426, 3, 321, 
0, 0, 0, 427, 1071, 317, 
0, 0, 0, 417, 82, 306, 
0, 0, 0, 436, 62, 283, 
0, 0, 0, 410, 6, 345, 
0, 0, 0, 403, 1134, 314, 
0, 0, 0, 406, 88, 334, 
0, 0, 0, 385, 45, 324, 
0, 0, 0, 405, 3, 333, 
0, 0, 0, 399, 1083, 258, 
0, 0, 0, 420, 110, 318, 
0, 0, 0, 390, 47, 304, 
0, 0, 0, 377, 2, 285, 
0, 0, 0, 397, 1109, 290, 
0, 0, 0, 350, 93, 338, 
0, 0, 0, 331, 48, 303, 
0, 0, 0, 350, 3, 315, 
0, 0, 0, 349, 1102, 308, 
0, 573, 0, 334, 103, 313, 
0, 545, 0, 310, 59, 285, 
0, 797, 0, 326, 5, 302, 
0, 520, 0, 325, 1102, 343, 
0, 319, 0, 322, 90, 292, 
0, 399, 0, 309, 42, 284, 
0, 306, 0, 290, 0, 299, 
0, 361, 0, 300, 1122, 327, 
0, 219, 0, 281, 99, 298, 
0, 105, 0, 285, 48, 312, 
0, 73, 0, 256, 2, 306, 
0, 350, 0, 242, 1028, 307, 
0, 471, 0, 265, 93, 296, 
0, 176, 0, 263, 47, 296, 
0, 168, 0, 245, 2, 304, 
0, 686, 0, 207, 1087, 328, 
0, 40, 0, 244, 95, 311, 
0, 373, 0, 237, 50, 283, 
0, 967, 0, 224, 7, 281, 
0, 467, 0, 265, 1093, 310, 
0, 174, 0, 234, 107, 304, 
0, 152, 0, 219, 52, 305, 
0, 336, 0, 191, 4, 320, 
0, 1, 0, 214, 1103, 285, 
0, 36, 0, 202, 105, 324, 
0, 3, 0, 173, 39, 329, 
0, 0, 0, 190, 6, 310, 
0, 0, 0, 227, 1043, 283, 
0, 0, 0, 211, 90, 344, 
0, 0, 0, 195, 54, 300, 
0, 0, 0, 212, 7, 304, 
0, 0, 0, 185, 1040, 316, 
0, 1146, 0, 210, 85, 333, 
0, 1407, 0, 210, 62, 289, 
0, 2063, 0, 187, 7, 290, 
