hash1, hash2, hash3, hash4, hash5, hash6, 
0, 970, 0, 200, 281, 293, 
30538, 1115, 39, 185, 265, 277, 
0, 687, 169, 211, 318, 300, 
0, 805, 860, 200, 284, 311, 
0, 721, 2590, 213, 258, 338, 
0, 157, 3912, 221, 272, 303, 
0, 140, 5234, 241, 290, 315, 
0, 728, 5557, 249, 272, 311, 
0, 1058, 4707, 264, 283, 317, 
0, 356, 3363, 250, 291, 273, 
0, 515, 2100, 259, 289, 294, 
0, 1723, 1179, 298, 325, 282, 
0, 128, 521, 293, 295, 300, 
0, 1128, 219, 299, 320, 292, 
0, 2496, 52, 306, 318, 317, 
0, 1080, 33, 322, 303, 282, 
0, 826, 3, 295, 291, 335, 
0, 395, 0, 296, 286, 303, 
0, 797, 0, 322, 310, 317, 
0, 0, 0, 334, 293, 307, 
0, 72, 0, 359, 254, 327, 
0, 15, 0, 346, 260, 310, 
0, 0, 0, 347, 290, 303, 
0, 0, 0, 368, 297, 322, 
0, 0, 0, 377, 298, 314, 
0, 0, 0, 390, 277, 306, 
0, 0, 0, 414, 288, 289, 
0, 0, 0, 441, 305, 284, 
0, 0, 0, 400, 307, 281, 
0, 0, 0, 410, 300, 293, 
0, 0, 0, 411, 312, 320, 
0, 0, 0, 407, 274, 286, 
0, 0, 0, 432, 259, 317, 
0, 0, 0, 419, 280, 313, 
0, 0, 0, 424, 272, 275, 
0, 0, 0, 407, 273, 291, 
0, 0, 0, 451, 300, 325, 
0, 0, 0, 422, 302, 286, 
0, 0, 0, 448, 268, 295, 
0, 0, 0, 430, 304, 286, 
0, 0, 0, 458, 278, 279, 
0, 0, 0, 413, 273, 301, 
0, 0, 0, 432, 264, 328, 
0, 0, 0, 442, 274, 268, 
0, 0, 0, 448, 273, 298, 
0, 0, 0, 438, 285, 315, 
0, 0, 0, 421, 301, 335, 
0, 0, 0, 435, 268, 307, 
0, 0, 0, 421, 261, 287, 
0, 0, 0, 438, 257, 288, 
0, 0, 0, 407, 275, 304, 
0, 0, 0, 419, 278, 304, 
0, 0, 0, 403, 283, 305, 
0, 0, 0, 379, 344, 338, 
0, 0, 0, 386, 294, 305, 
0, 0, 0, 366, 304, 281, 
0, 0, 0, 338, 338, 292, 
0, 0, 0, 343, 338, 314, 
0, 0, 0, 371, 322, 302, 
0, 0, 0, 356, 324, 336, 
0, 0, 0, 311, 297, 327, 
0, 0, 0, 340, 287, 313, 
0, 0, 0, 318, 293, 301, 
0, 0, 0, 299, 337, 289, 
0, 0, 0, 308, 336, 316, 
0, 573, 0, 298, 336, 309, 
0, 545, 0, 266, 388, 320, 
0, 797, 0, 253, 369, 298, 
0, 520, 0, 254, 328, 277, 
0, 319, 0, 254, 321, 290, 
0, 399, 0, 239, 357, 309, 
0, 306, 0, 240, 363, 298, 
0, 361, 0, 264, 337, 331, 
0, 219, 0, 231, 355, 314, 
0, 105, 0, 210, 345, 314, 
0, 73, 0, 223, 338, 310, 
0, 350, 0, 239, 338, 296, 
0, 471, 0, 186, 309, 298, 
0, 176, 0, 192, 339, 321, 
0, 168, 0, 242, 347, 270, 
0, 686, 0, 199, 338, 306, 
0, 40, 0, 192, 362, 313, 
0, 373, 0, 195, 311, 292, 
0, 967, 0, 200, 331, 277, 
0, 467, 0, 169, 359, 296, 
0, 174, 0, 177, 301, 293, 
0, 152, 0, 185, 380, 277, 
0, 336, 0, 170, 305, 291, 
0, 1, 0, 174, 263, 293, 
0, 36, 0, 167, 288, 319, 
0, 3, 0, 183, 310, 293, 
0, 0, 0, 188, 333, 308, 
0, 0, 0, 190, 288, 331, 
0, 0, 0, 184, 291, 320, 
0, 0, 0, 164, 262, 293, 
0, 0, 0, 184, 295, 317, 
0, 0, 0, 191, 279, 279, 
0, 1146, 0, 188, 262, 266, 
0, 1407, 0, 183, 279, 298, 
0, 2063, 0, 196, 267, 305, 
0, 1393, 0, 217, 316, 293, 
