hash1, hash2, hash3, hash4, hash5, hash6, 
0, 0, 0, 0, 16, 24, 
30538, 0, 39, 0, 6, 32, 
0, 0, 169, 2, 12, 30, 
0, 0, 860, 0, 11, 19, 
0, 0, 2590, 1, 18, 22, 
0, 0, 3912, 0, 5, 24, 
0, 0, 5234, 0, 7, 17, 
0, 0, 5557, 1, 8, 16, 
0, 0, 4707, 1, 8, 19, 
0, 0, 3363, 0, 12, 28, 
0, 0, 2100, 2, 8, 21, 
0, 0, 1179, 1, 13, 19, 
0, 0, 521, 1, 8, 21, 
0, 0, 219, 0, 15, 20, 
0, 0, 52, 0, 16, 20, 
0, 0, 33, 0, 10, 21, 
0, 0, 3, 1, 9, 19, 
0, 0, 0, 1, 12, 19, 
0, 0, 0, 2, 12, 25, 
0, 0, 0, 0, 6, 19, 
0, 0, 0, 0, 8, 26, 
0, 0, 0, 0, 7, 14, 
0, 0, 0, 0, 7, 15, 
0, 0, 0, 0, 5, 22, 
0, 0, 0, 0, 5, 19, 
0, 0, 0, 1, 3, 21, 
0, 0, 0, 0, 6, 17, 
0, 0, 0, 0, 13, 22, 
0, 0, 0, 0, 7, 18, 
0, 0, 0, 0, 5, 15, 
0, 0, 0, 1, 8, 15, 
0, 0, 0, 0, 62, 20, 
0, 0, 0, 0, 56, 15, 
0, 0, 0, 1, 42, 24, 
0, 0, 0, 0, 45, 23, 
0, 0, 0, 1, 39, 20, 
0, 0, 0, 0, 53, 23, 
0, 0, 0, 1, 51, 19, 
0, 0, 0, 0, 34, 12, 
0, 0, 0, 0, 41, 16, 
0, 0, 0, 1, 36, 15, 
0, 0, 0, 0, 47, 18, 
0, 0, 0, 0, 39, 16, 
0, 0, 0, 0, 30, 18, 
0, 0, 0, 0, 45, 23, 
0, 0, 0, 0, 39, 29, 
0, 0, 0, 0, 37, 17, 
0, 0, 0, 0, 33, 22, 
0, 0, 0, 0, 46, 23, 
0, 0, 0, 0, 43, 23, 
0, 0, 0, 0, 44, 17, 
0, 0, 0, 1, 47, 24, 
0, 0, 0, 1, 45, 14, 
0, 0, 0, 0, 36, 19, 
0, 0, 0, 0, 44, 20, 
0, 0, 0, 0, 27, 20, 
0, 0, 0, 0, 36, 23, 
0, 0, 0, 1, 43, 21, 
0, 0, 0, 0, 35, 17, 
0, 0, 0, 0, 43, 19, 
0, 0, 0, 0, 36, 37, 
0, 0, 0, 0, 41, 14, 
0, 0, 0, 0, 31, 24, 
0, 0, 0, 0, 7, 20, 
0, 0, 0, 0, 57, 27, 
0, 573, 0, 1, 37, 24, 
0, 545, 0, 1, 54, 30, 
0, 797, 0, 1, 58, 21, 
0, 520, 0, 1, 51, 29, 
0, 319, 0, 1, 31, 25, 
0, 399, 0, 0, 43, 23, 
0, 306, 0, 1, 55, 24, 
0, 361, 0, 2, 46, 22, 
0, 219, 0, 2, 43, 17, 
0, 105, 0, 1, 40, 14, 
0, 73, 0, 0, 45, 19, 
0, 350, 0, 1, 47, 20, 
0, 471, 0, 1, 37, 28, 
0, 176, 0, 2, 54, 17, 
0, 168, 0, 1, 48, 16, 
0, 686, 0, 2, 62, 21, 
0, 40, 0, 2, 49, 15, 
0, 373, 0, 1, 46, 20, 
0, 967, 0, 2, 47, 25, 
0, 467, 0, 1, 50, 19, 
0, 174, 0, 1, 53, 20, 
0, 152, 0, 1, 48, 28, 
0, 336, 0, 1, 54, 24, 
0, 1, 0, 0, 38, 20, 
0, 36, 0, 1, 32, 26, 
0, 3, 0, 0, 34, 21, 
0, 0, 0, 0, 55, 26, 
0, 0, 0, 0, 43, 13, 
0, 0, 0, 1, 41, 25, 
0, 0, 0, 1, 45, 21, 
0, 0, 0, 0, 38, 19, 
0, 0, 0, 0, 11, 23, 
0, 1146, 0, 1, 13, 22, 
0, 1407, 0, 1, 13, 22, 
0, 2063, 0, 1, 10, 22, 
0, 1393, 0, 2, 6, 18, 
0, 970, 0, 1, 10, 12, 
0, 1115, 0, 0, 6, 20, 
0, 687, 0, 1, 9, 18, 
0, 805, 0, 1, 20, 28, 
0, 721, 0, 1, 17, 20, 
0, 157, 0, 1, 21, 15, 
0, 140, 0, 0, 20, 23, 
0, 728, 0, 3, 21, 20, 
0, 1058, 0, 1, 11, 11, 
0, 356, 0, 2, 22, 24, 
0, 515, 0, 1, 22, 23, 
0, 1723, 0, 0, 16, 27, 
0, 128, 0, 1, 36, 24, 
0, 1128, 0, 3, 29, 18, 
0, 2496, 0, 1, 16, 13, 
0, 1080, 0, 2, 22, 21, 
0, 826, 0, 1, 15, 15, 
0, 395, 0, 1, 23, 22, 
0, 797, 0, 1, 16, 22, 
0, 0, 0, 1, 16, 16, 
0, 72, 0, 1, 19, 23, 
0, 15, 0, 3, 15, 15, 
0, 0, 0, 0, 13, 25, 
0, 0, 0, 1, 19, 20, 
0, 0, 0, 1, 18, 16, 
0, 0, 0, 2, 18, 31, 
0, 0, 0, 1, 21, 24, 
0, 0, 0, 0, 24, 18, 
0, 0, 0, 0, 17, 19, 
0, 0, 0, 0, 20, 20, 
0, 0, 0, 1, 22, 25, 
0, 0, 0, 0, 25, 17, 
0, 0, 0, 0, 19, 15, 
0, 0, 0, 0, 26, 20, 
0, 0, 0, 0, 23, 23, 
0, 0, 0, 0, 15, 20, 
0, 0, 0, 0, 15, 22, 
0, 0, 0, 0, 17, 14, 
0, 0, 0, 0, 6, 18, 
0, 0, 0, 0, 18, 21, 
0, 0, 0, 1, 15, 20, 
0, 0, 0, 0, 8, 31, 
0, 0, 0, 1, 2, 11, 
0, 0, 0, 0, 17, 18, 
